Date,Store_ID,Product_ID,Opening_Stock,Closing_Stock,Wastage_Units,Reorder_Level
2024-05-13,S001,P070,535,458,10,86
2024-11-21,S012,P034,342,295,11,169
2024-04-07,S013,P031,394,251,24,140
2024-07-21,S016,P036,495,429,2,174
2024-01-23,S009,P012,296,218,16,90
2024-09-07,S013,P096,572,476,0,128
2024-02-12,S009,P013,260,156,22,105
2024-08-10,S016,P049,549,468,18,111
2024-06-09,S005,P058,364,279,14,106
2024-05-02,S011,P024,414,356,20,171
2024-12-16,S006,P081,142,54,4,113
2024-06-07,S001,P117,534,507,1,158
2024-01-28,S002,P095,557,448,4,123
2024-12-01,S016,P114,375,300,4,96
2024-07-25,S011,P026,578,511,22,144
2024-01-11,S002,P068,268,128,21,169
2024-11-22,S018,P110,121,55,1,101
2024-09-10,S017,P043,414,366,0,191
2024-07-18,S003,P096,143,110,5,95
2024-08-16,S010,P091,441,374,5,199
2024-07-29,S015,P027,426,331,8,89
2024-10-11,S007,P036,343,259,8,188
2024-03-21,S004,P109,572,498,1,144
2024-11-21,S002,P071,494,384,3,120
2024-02-01,S009,P023,415,318,23,130
2024-12-10,S017,P011,482,430,20,150
2024-12-01,S007,P048,323,223,17,96
2024-04-23,S015,P054,398,281,4,170
2024-04-06,S008,P001,211,140,21,150
2024-09-18,S006,P037,358,295,11,192
2024-05-09,S012,P099,221,165,1,94
2024-06-22,S009,P022,398,340,10,179
2024-02-24,S019,P008,502,449,15,135
2024-01-01,S004,P086,377,286,1,99
2024-08-21,S002,P087,186,134,5,96
2024-02-08,S015,P051,335,292,10,121
2024-05-04,S009,P033,589,497,15,126
2024-02-07,S001,P045,431,362,19,175
2024-10-20,S016,P061,254,194,13,90
2024-01-15,S008,P069,410,376,5,179
2024-09-01,S010,P079,291,197,9,87
2024-10-15,S014,P073,347,220,21,121
2024-05-19,S010,P095,292,182,5,102
2024-02-08,S015,P082,121,92,0,178
2024-05-27,S004,P061,146,52,7,125
2024-07-14,S004,P032,322,295,6,94
2024-01-03,S017,P049,138,28,23,100
2024-01-05,S008,P083,113,34,0,181
2024-10-30,S020,P069,104,33,3,167
2024-06-19,S003,P098,466,402,0,112
2024-05-02,S010,P016,475,404,24,192
2024-06-06,S007,P052,545,515,1,105
2024-01-09,S013,P065,464,383,10,183
2024-07-31,S018,P028,286,205,9,160
2024-10-10,S003,P045,454,383,4,166
2024-01-02,S004,P076,517,447,9,155
2024-02-18,S016,P024,297,272,4,188
2024-12-14,S019,P065,505,379,23,129
2024-12-23,S015,P119,504,467,2,200
2024-07-21,S003,P031,159,36,12,118
2024-05-24,S007,P101,247,180,5,169
2024-01-26,S014,P061,294,206,11,177
2024-05-28,S011,P081,351,296,4,176
2024-05-23,S002,P059,424,380,2,142
2024-08-28,S009,P087,242,127,1,124
2024-03-31,S003,P120,490,422,5,136
2024-05-28,S018,P099,305,239,1,95
2024-06-06,S020,P019,429,334,17,144
2024-04-12,S012,P048,424,371,0,169
2024-12-17,S019,P085,310,271,3,130
2024-08-30,S012,P045,399,308,9,139
2024-09-18,S017,P095,123,25,3,198
2024-08-04,S005,P074,377,284,5,118
2024-08-27,S008,P024,429,351,10,168
2024-09-05,S006,P087,432,331,4,99
2024-02-03,S018,P027,285,164,10,122
2024-07-27,S019,P025,497,433,14,134
2024-10-16,S008,P055,300,194,5,114
2024-04-26,S008,P002,120,84,12,176
2024-11-05,S007,P075,470,395,10,200
2024-04-26,S002,P041,375,342,8,122
2024-12-16,S011,P023,393,278,0,193
2024-12-22,S020,P111,116,18,2,134
2024-07-31,S010,P093,543,423,3,151
2024-05-26,S020,P011,355,219,18,100
2024-02-27,S019,P107,363,245,4,133
2024-08-05,S013,P035,568,522,11,164
2024-12-09,S001,P070,240,154,19,132
2024-11-19,S018,P049,109,20,10,141
2024-03-01,S009,P106,130,51,1,183
2024-03-18,S013,P025,506,426,14,101
2024-01-24,S019,P110,564,443,5,87
2024-04-15,S016,P012,250,153,21,95
2024-06-20,S020,P057,457,322,18,140
2024-03-12,S019,P016,184,67,23,90
2024-08-25,S017,P068,233,137,5,174
2024-11-24,S009,P073,583,504,20,169
2024-07-29,S014,P016,142,21,9,136
2024-06-02,S010,P102,150,80,1,109
2024-01-16,S009,P004,235,140,17,113
2024-05-09,S018,P104,413,368,4,99
2024-02-07,S004,P028,183,154,6,134
2024-02-07,S018,P026,583,479,12,81
2024-02-15,S004,P091,275,156,0,159
2024-10-27,S007,P098,526,475,4,165
2024-05-01,S012,P020,483,410,0,137
2024-06-22,S011,P013,129,28,0,153
2024-02-11,S004,P063,571,493,20,123
2024-11-13,S002,P082,165,71,5,84
2024-01-09,S006,P064,122,51,23,88
2024-01-02,S011,P054,290,203,13,107
2024-07-24,S004,P110,533,420,1,197
2024-10-06,S011,P036,151,88,3,95
2024-06-25,S002,P108,217,139,5,150
2024-06-09,S019,P007,412,341,10,152
2024-01-24,S009,P022,494,397,17,170
2024-11-09,S015,P028,324,251,6,193
2024-09-07,S001,P098,160,97,3,97
2024-08-10,S001,P025,264,174,17,154
2024-11-26,S013,P077,499,374,11,161
2024-11-28,S017,P066,108,7,22,95
2024-03-09,S018,P036,229,192,14,145
2024-06-24,S003,P051,309,239,0,120
2024-02-10,S005,P076,588,558,7,101
2024-08-14,S015,P070,382,323,21,187
2024-07-07,S001,P009,594,558,9,109
2024-11-12,S008,P100,591,482,5,123
2024-10-24,S011,P047,544,461,10,150
2024-07-01,S009,P002,458,344,13,178
2024-06-13,S017,P012,485,413,20,188
2024-04-04,S016,P026,456,344,13,139
2024-02-13,S018,P077,441,327,0,173
2024-12-11,S018,P094,451,376,3,112
2024-09-21,S016,P086,414,315,1,103
2024-11-14,S011,P043,386,275,12,186
2024-02-25,S013,P104,183,104,0,93
2024-07-02,S018,P097,179,122,4,112
2024-09-18,S012,P108,409,343,5,171
2024-02-04,S013,P077,212,115,24,175
2024-11-02,S007,P013,574,526,5,161
2024-07-27,S014,P051,571,433,24,104
2024-07-12,S020,P038,231,187,7,178
2024-07-05,S017,P006,428,387,13,113
2024-12-21,S016,P044,214,132,16,124
2024-12-23,S017,P101,501,463,5,132
2024-12-07,S018,P045,412,356,23,173
2024-02-07,S018,P099,465,433,2,113
2024-01-07,S019,P006,204,147,11,179
2024-08-16,S010,P107,478,419,5,132
2024-03-22,S020,P050,109,36,8,161
2024-08-22,S004,P072,232,200,11,113
2024-09-13,S004,P045,161,42,21,186
2024-05-06,S010,P072,420,370,1,181
2024-06-05,S007,P105,262,172,4,95
2024-02-25,S014,P013,409,297,6,161
2024-07-03,S003,P108,514,428,2,103
2024-07-19,S018,P022,446,321,23,182
2024-04-29,S002,P108,104,6,4,190
2024-07-05,S001,P078,322,212,7,82
2024-03-21,S002,P103,360,242,0,102
2024-03-28,S009,P016,492,407,9,183
2024-08-27,S008,P015,420,315,7,159
2024-11-03,S012,P058,434,368,25,127
2024-02-05,S013,P056,579,511,12,191
2024-08-07,S013,P027,490,412,4,118
2024-06-22,S005,P111,353,267,4,173
2024-02-15,S019,P100,578,512,4,185
2024-08-17,S009,P089,443,381,1,89
2024-10-24,S001,P015,253,149,23,101
2024-02-18,S005,P062,200,134,12,117
2024-04-28,S020,P078,254,177,1,179
2024-03-01,S001,P014,533,423,21,200
2024-03-16,S018,P070,454,382,15,122
2024-03-02,S011,P027,141,21,10,128
2024-09-05,S013,P005,530,492,3,86
2024-11-27,S007,P101,371,349,0,173
2024-06-01,S005,P031,302,243,0,192
2024-09-09,S012,P114,119,67,1,116
2024-08-02,S016,P113,266,233,2,193
2024-09-19,S009,P081,229,123,5,126
2024-11-09,S018,P106,340,259,4,180
2024-06-01,S005,P096,554,438,4,115
2024-11-11,S001,P025,411,367,8,164
2024-07-24,S001,P088,180,101,4,164
2024-11-12,S014,P045,188,126,15,91
2024-08-22,S013,P098,172,66,0,116
2024-10-24,S019,P015,523,449,17,168
2024-11-23,S003,P093,158,104,4,179
2024-05-04,S003,P046,386,304,25,109
2024-01-19,S017,P005,363,302,20,146
2024-06-18,S012,P067,353,302,20,102
2024-11-07,S004,P011,402,337,6,120
2024-10-31,S011,P092,210,189,0,95
2024-11-01,S017,P107,476,451,5,195
2024-12-08,S006,P059,451,380,7,178
2024-03-10,S017,P089,353,264,1,189
2024-10-24,S014,P047,408,345,11,196
2024-10-14,S003,P095,271,222,5,185
2024-06-20,S002,P088,320,201,5,92
2024-02-11,S004,P058,136,19,5,156
2024-12-04,S014,P096,534,481,5,157
2024-02-12,S016,P032,435,322,13,94
2024-07-26,S006,P024,370,266,17,173
2024-07-03,S006,P011,349,308,2,145
2024-12-11,S009,P066,370,257,11,142
2024-11-04,S020,P015,232,135,1,177
2024-08-27,S012,P082,237,208,1,159
2024-09-28,S002,P086,141,97,2,89
2024-08-16,S005,P040,447,376,1,117
2024-07-31,S015,P068,512,416,18,193
2024-03-30,S008,P088,267,179,3,137
2024-07-18,S005,P079,599,502,5,90
2024-10-01,S014,P081,325,270,1,160
2024-11-27,S001,P094,216,113,0,122
2024-03-04,S007,P014,199,122,20,166
2024-09-08,S011,P039,539,505,12,185
2024-05-11,S012,P031,570,511,13,124
2024-03-04,S006,P063,261,221,13,141
2024-01-18,S003,P070,437,329,6,158
2024-11-22,S020,P033,242,161,21,134
2024-10-23,S017,P029,118,12,0,94
2024-09-20,S005,P084,144,85,0,100
2024-01-19,S011,P074,468,420,24,129
2024-06-19,S005,P027,166,51,18,188
2024-01-15,S001,P008,533,444,2,139
2024-08-28,S017,P006,417,340,23,175
2024-07-17,S013,P108,516,442,1,121
2024-03-25,S006,P111,555,534,0,197
2024-01-21,S017,P060,231,163,7,176
2024-12-08,S018,P035,108,0,12,143
2024-04-22,S011,P112,519,491,3,177
2024-02-20,S007,P074,377,295,6,143
2024-05-06,S002,P086,364,321,3,98
2024-03-31,S012,P074,587,462,20,171
2024-12-05,S017,P006,294,232,7,156
2024-04-01,S016,P082,430,323,0,98
2024-02-10,S019,P056,382,317,22,158
2024-08-02,S001,P109,522,399,5,94
2024-08-19,S012,P090,492,430,2,141
2024-05-01,S008,P002,585,563,0,126
2024-03-30,S016,P021,418,297,13,174
2024-05-07,S002,P025,234,166,17,88
2024-01-10,S010,P004,239,119,15,101
2024-07-21,S008,P023,306,264,14,154
2024-07-26,S014,P036,548,501,5,171
2024-12-13,S019,P083,111,64,4,109
2024-08-23,S003,P016,192,93,9,146
2024-03-18,S005,P032,260,146,22,150
2024-10-07,S005,P018,199,89,6,162
2024-10-22,S018,P075,473,375,20,171
2024-03-17,S015,P066,218,118,11,140
2024-08-30,S015,P109,151,96,3,185
2024-12-17,S015,P034,494,438,1,87
2024-11-26,S020,P108,384,293,1,98
2024-11-12,S014,P022,594,526,19,97
2024-08-01,S006,P080,258,194,24,147
2024-11-02,S008,P092,146,32,3,177
2024-05-11,S014,P057,441,384,15,106
2024-12-24,S017,P060,389,346,11,173
2024-10-25,S015,P040,519,447,14,197
2024-09-24,S001,P109,403,286,1,85
2024-02-16,S020,P090,194,166,3,167
2024-03-14,S012,P059,192,88,18,188
2024-07-30,S018,P116,308,224,2,116
2024-10-21,S012,P099,159,79,1,193
2024-08-02,S007,P042,154,87,2,111
2024-11-22,S014,P076,208,100,10,188
2024-11-11,S020,P102,222,172,1,183
2024-06-24,S016,P095,110,20,5,155
2024-04-07,S008,P005,396,282,20,144
2024-05-04,S007,P031,286,186,5,92
2024-03-13,S001,P045,356,224,20,97
2024-03-01,S018,P034,340,272,17,158
2024-03-27,S007,P082,399,351,2,80
2024-01-08,S020,P003,178,78,25,116
2024-12-08,S001,P089,342,299,5,164
2024-03-05,S014,P086,224,127,2,124
2024-06-24,S020,P004,404,289,8,133
2024-03-25,S012,P054,170,82,7,124
2024-06-06,S015,P041,253,177,25,162
2024-11-08,S007,P064,215,167,19,99
2024-05-07,S002,P015,139,27,16,194
2024-02-19,S005,P002,327,244,16,90
2024-01-20,S002,P101,331,269,0,125
2024-09-27,S002,P001,201,111,17,181
2024-01-13,S018,P049,269,159,12,174
2024-05-08,S007,P068,440,367,17,106
2024-12-05,S004,P044,587,482,7,192
2024-06-10,S020,P108,350,307,3,178
2024-12-15,S016,P076,176,125,2,143
2024-01-05,S008,P015,361,267,9,177
2024-07-14,S013,P074,418,330,19,182
2024-04-10,S006,P081,263,232,5,196
2024-03-06,S018,P068,148,80,11,152
2024-03-09,S019,P014,359,295,8,160
2024-09-07,S011,P049,351,216,24,140
2024-07-31,S007,P011,161,102,6,175
2024-06-29,S016,P016,410,346,23,181
2024-06-29,S015,P090,211,147,4,174
2024-05-31,S004,P046,442,344,6,102
2024-01-14,S008,P050,165,84,7,136
2024-08-08,S018,P095,197,116,0,107
2024-01-05,S004,P012,231,175,10,193
2024-12-24,S011,P060,144,57,18,107
2024-12-19,S007,P047,153,105,23,111
2024-03-05,S010,P004,175,110,7,134
2024-07-20,S006,P085,505,433,2,90
2024-03-17,S010,P118,287,261,5,168
2024-01-15,S018,P056,294,183,13,127
2024-03-06,S013,P060,116,71,2,164
2024-10-06,S001,P062,146,55,0,199
2024-06-29,S001,P059,407,272,17,169
2024-06-03,S010,P048,362,272,25,121
2024-10-22,S005,P112,467,427,5,106
2024-05-27,S017,P068,420,316,20,180
2024-08-21,S003,P010,120,41,8,185
2024-09-22,S005,P102,414,334,4,139
2024-09-15,S005,P115,519,491,2,144
2024-10-11,S006,P066,343,264,22,147
2024-10-11,S016,P084,420,371,0,128
2024-03-24,S003,P060,238,150,1,160
2024-07-13,S001,P009,286,247,3,146
2024-02-23,S003,P049,214,100,5,97
2024-09-04,S018,P043,462,356,15,192
2024-03-26,S008,P065,387,326,7,184
2024-11-19,S006,P065,449,390,10,131
2024-03-29,S003,P031,407,375,12,95
2024-10-07,S020,P106,453,341,5,188
2024-06-14,S010,P104,506,422,5,132
2024-05-09,S019,P061,276,240,1,157
2024-08-01,S002,P060,441,314,18,160
2024-11-19,S015,P116,449,394,4,131
2024-12-15,S013,P016,235,119,16,163
2024-11-25,S017,P105,220,133,2,101
2024-08-20,S019,P019,211,88,9,169
2024-07-21,S013,P006,156,104,14,198
2024-06-22,S007,P034,347,316,3,190
2024-06-24,S019,P051,378,276,21,96
2024-03-23,S007,P058,359,216,24,147
2024-11-12,S013,P006,377,308,21,133
2024-03-28,S008,P044,596,520,19,199
2024-05-19,S005,P100,188,89,1,193
2024-01-17,S004,P109,528,487,3,195
2024-07-26,S017,P067,444,402,0,192
2024-07-28,S016,P039,563,464,13,124
2024-10-24,S016,P040,148,118,8,186
2024-05-27,S012,P037,191,165,5,163
2024-03-31,S007,P060,215,171,14,87
2024-07-06,S019,P067,155,92,25,122
2024-02-16,S016,P113,449,342,4,149
2024-07-18,S013,P113,441,364,3,144
2024-08-10,S009,P035,452,395,10,95
2024-08-24,S004,P116,242,172,1,93
2024-11-15,S020,P084,338,250,5,180
2024-04-16,S019,P002,489,436,3,137
2024-03-23,S004,P025,600,524,3,189
2024-05-02,S011,P081,227,152,0,156
2024-02-02,S020,P042,458,339,11,89
2024-05-08,S020,P094,343,226,3,173
2024-07-30,S009,P010,592,520,10,151
2024-04-05,S007,P075,122,40,16,88
2024-05-29,S020,P036,498,455,12,191
2024-12-23,S012,P006,464,401,8,139
2024-09-04,S019,P019,115,0,10,150
2024-11-28,S014,P055,174,63,1,198
2024-06-25,S010,P062,469,350,9,192
2024-05-07,S018,P047,328,228,15,160
2024-10-30,S015,P018,307,212,13,183
2024-11-11,S010,P002,598,540,20,151
2024-06-12,S013,P108,442,320,5,133
2024-10-29,S003,P020,155,117,8,81
2024-03-03,S020,P101,471,392,3,126
2024-10-13,S007,P030,454,395,14,157
2024-08-09,S014,P075,244,123,3,145
2024-06-18,S010,P118,197,99,3,81
2024-12-10,S003,P108,255,146,1,131
2024-03-11,S007,P038,404,351,19,108
2024-04-10,S012,P102,326,212,2,152
2024-10-28,S002,P116,532,471,0,197
2024-12-23,S012,P013,455,432,0,166
2024-02-08,S008,P037,530,480,5,175
2024-08-21,S003,P064,143,23,16,175
2024-08-09,S012,P080,179,54,13,138
2024-06-18,S007,P094,105,11,2,192
2024-09-01,S020,P093,145,101,2,179
2024-10-13,S018,P034,491,413,4,97
2024-11-11,S011,P034,301,210,23,123
2024-10-14,S014,P025,503,377,25,107
2024-05-03,S004,P073,401,297,22,120
2024-03-04,S015,P076,291,226,15,163
2024-10-05,S010,P051,476,405,13,148
2024-09-18,S012,P120,241,126,5,132
2024-02-02,S018,P035,360,313,23,80
2024-10-31,S010,P044,297,248,5,170
2024-04-18,S004,P039,490,354,18,185
2024-07-10,S013,P017,146,14,19,109
2024-08-17,S012,P042,521,411,15,110
2024-04-07,S001,P097,533,506,5,149
2024-10-02,S003,P107,180,154,1,116
2024-09-24,S012,P001,514,417,19,167
2024-09-05,S001,P036,572,462,2,99
2024-01-21,S004,P034,268,204,20,174
2024-07-22,S012,P046,381,258,15,175
2024-09-23,S018,P079,258,186,11,101
2024-08-31,S011,P039,422,360,13,174
2024-08-20,S019,P006,462,327,19,128
2024-11-30,S002,P119,422,395,5,146
2024-07-11,S017,P071,338,308,3,194
2024-03-27,S013,P085,405,351,3,92
2024-10-01,S002,P045,194,133,4,125
2024-09-30,S011,P008,228,162,12,109
2024-11-18,S013,P032,187,50,23,101
2024-06-11,S018,P101,253,160,4,124
2024-08-02,S019,P022,194,107,9,193
2024-02-18,S020,P044,561,487,1,125
2024-03-24,S012,P098,213,106,4,178
2024-03-15,S014,P014,204,93,5,116
2024-01-17,S015,P048,517,432,8,184
2024-03-10,S007,P038,573,447,20,114
2024-01-12,S006,P099,212,171,1,162
2024-03-08,S010,P110,328,291,3,108
2024-05-20,S015,P066,138,5,19,80
2024-10-29,S011,P069,167,121,7,192
2024-01-04,S009,P086,306,219,4,157
2024-08-01,S018,P089,287,191,0,161
2024-11-10,S017,P010,290,235,12,155
2024-06-07,S003,P117,290,243,0,149
2024-10-07,S019,P067,119,11,9,85
2024-08-20,S015,P041,351,242,1,149
2024-01-30,S007,P047,166,48,2,86
2024-04-26,S004,P119,496,406,0,156
2024-12-26,S005,P024,579,461,21,172
2024-07-11,S006,P119,278,160,3,183
2024-12-14,S012,P017,246,180,1,149
2024-03-12,S019,P018,344,264,7,95
2024-09-14,S001,P119,372,310,1,170
2024-07-05,S001,P105,290,184,5,122
2024-04-13,S006,P056,124,58,15,153
2024-01-06,S003,P084,233,127,4,86
2024-11-26,S001,P058,135,22,1,111
2024-10-01,S004,P113,275,234,4,199
2024-02-13,S011,P070,440,409,4,120
2024-01-03,S011,P089,233,161,0,161
2024-01-24,S010,P053,490,377,18,190
2024-03-08,S016,P118,453,407,0,167
2024-01-10,S013,P037,125,82,15,155
2024-02-29,S003,P070,502,405,4,188
2024-05-23,S013,P058,106,46,17,193
2024-06-17,S007,P020,497,431,5,117
2024-10-04,S006,P085,394,325,4,117
2024-11-03,S003,P111,358,241,2,95
2024-06-05,S020,P095,158,109,5,150
2024-09-29,S017,P035,347,206,21,130
2024-01-17,S008,P058,485,437,4,121
2024-08-07,S012,P067,526,411,4,106
2024-01-06,S014,P078,248,174,14,139
2024-12-04,S004,P113,471,374,3,163
2024-11-04,S014,P063,553,489,20,162
2024-05-25,S006,P075,101,10,6,169
2024-07-06,S008,P039,484,354,21,163
2024-12-07,S006,P070,569,510,18,187
2024-08-22,S001,P041,262,163,23,80
2024-09-23,S020,P065,111,0,10,187
2024-07-28,S003,P016,386,330,3,130
2024-02-21,S015,P065,382,339,6,173
2024-08-26,S016,P019,291,245,8,185
2024-12-14,S013,P052,222,103,19,93
2024-05-03,S006,P018,473,369,16,185
2024-04-10,S020,P105,515,401,3,155
2024-12-01,S019,P067,421,316,6,97
2024-03-09,S003,P041,125,80,7,188
2024-06-08,S008,P042,445,360,14,117
2024-09-10,S017,P115,115,37,4,96
2024-06-01,S005,P082,221,105,3,129
2024-03-18,S020,P084,387,272,2,195
2024-03-10,S017,P087,479,439,5,107
2024-11-06,S019,P079,464,356,24,140
2024-04-13,S007,P080,549,474,17,174
2024-04-08,S014,P056,160,26,20,147
2024-07-09,S015,P017,461,418,20,192
2024-11-15,S011,P015,557,464,11,167
2024-01-12,S004,P021,567,484,3,165
2024-09-02,S011,P081,408,369,0,123
2024-05-23,S017,P077,111,14,15,116
2024-07-05,S014,P044,210,122,1,184
2024-01-18,S001,P080,546,417,12,200
2024-05-14,S005,P085,212,125,5,149
2024-04-22,S012,P073,540,463,6,182
2024-04-21,S005,P061,335,249,18,189
2024-02-27,S020,P029,308,243,8,164
2024-03-18,S013,P023,258,189,21,162
2024-08-04,S003,P039,467,440,2,124
2024-02-06,S008,P117,345,236,1,139
2024-12-04,S018,P047,484,367,7,160
2024-07-15,S009,P093,379,319,3,142
2024-06-10,S016,P119,387,289,0,98
2024-01-17,S018,P111,579,516,5,183
2024-04-04,S009,P117,135,34,0,154
2024-06-11,S013,P072,480,412,14,125
2024-07-06,S006,P117,472,414,1,146
2024-08-20,S001,P107,525,481,2,169
2024-05-02,S008,P094,591,505,5,140
2024-12-27,S012,P035,315,226,12,183
2024-05-31,S015,P024,365,313,25,94
2024-08-14,S014,P041,360,268,22,188
2024-10-24,S005,P112,104,17,3,157
2024-01-19,S013,P070,329,204,25,114
2024-06-20,S018,P067,562,460,16,85
2024-02-25,S017,P117,302,262,4,175
2024-04-25,S011,P119,448,331,3,190
2024-06-28,S005,P110,287,194,2,95
2024-02-02,S005,P043,481,419,22,129
2024-02-25,S013,P080,272,216,16,146
2024-05-30,S007,P062,547,473,0,164
2024-05-26,S011,P111,113,30,3,135
2024-06-25,S010,P064,335,241,9,148
2024-02-26,S015,P082,532,416,3,114
2024-03-03,S002,P008,446,314,19,148
2024-08-20,S008,P098,375,327,1,198
2024-08-16,S009,P016,193,143,17,101
2024-07-16,S010,P016,435,364,16,185
2024-05-14,S003,P007,223,92,21,123
2024-07-04,S008,P119,517,403,3,161
2024-07-10,S010,P030,520,436,17,159
2024-08-14,S018,P034,269,167,5,198
2024-08-30,S006,P076,169,118,9,164
2024-01-10,S002,P012,437,374,16,119
2024-10-27,S013,P038,570,515,23,129
2024-06-08,S013,P119,568,445,5,119
2024-02-12,S002,P084,554,525,0,89
2024-04-19,S003,P089,298,235,1,185
2024-04-18,S014,P078,387,273,12,118
2024-12-13,S018,P009,236,115,5,86
2024-01-10,S008,P089,204,87,1,110
2024-04-19,S020,P005,491,446,13,193
2024-08-18,S003,P005,423,395,3,117
2024-11-05,S017,P039,519,393,24,133
2024-01-16,S006,P044,569,435,23,84
2024-07-05,S013,P051,184,55,15,163
2024-12-04,S010,P102,465,416,2,162
2024-06-03,S005,P084,210,176,0,128
2024-06-11,S010,P020,222,179,9,189
2024-01-16,S012,P003,344,266,18,148
2024-04-17,S012,P009,583,476,18,180
2024-08-16,S008,P109,123,37,1,100
2024-06-06,S006,P071,157,111,16,158
