Date,Store_ID,Product_ID,Units_Sold,Selling_Price,Discount_%,Revenue
2024-07-17,S010,P012,78,7.8,0.0,608.4
2024-01-14,S020,P057,81,14.58,0.14,1015.64
2024-03-22,S001,P074,52,4.72,0.0,245.44
2024-12-06,S010,P060,100,9.47,0.0,947.0
2024-10-29,S020,P028,117,6.45,0.0,754.65
2024-12-13,S001,P046,91,8.34,0.0,758.94
2024-01-12,S003,P037,32,13.91,0.0,445.12
2024-04-30,S014,P109,7,8.42,0.0,58.94
2024-09-02,S017,P009,22,2.19,0.0,48.18
2024-01-07,S019,P072,66,14.61,0.0,964.26
2024-05-19,S011,P067,54,14.47,0.0,781.38
2024-08-03,S009,P015,75,2.65,0.0,198.75
2024-08-16,S016,P114,59,8.21,0.0,484.39
2024-04-01,S020,P116,13,7.54,0.0,98.02
2024-01-02,S005,P032,91,10.03,0.0,912.73
2024-09-01,S007,P045,41,12.98,0.22,415.1
2024-07-30,S005,P104,53,7.96,0.11,375.47
2024-03-20,S010,P070,18,13.13,0.0,236.34
2024-07-20,S010,P084,74,6.07,0.0,449.18
2024-08-26,S005,P009,109,2.11,0.0,229.99
2024-09-09,S017,P090,56,6.93,0.0,388.08
2024-06-05,S007,P074,71,4.66,0.0,330.86
2024-04-09,S018,P061,100,5.11,0.0,511.0
2024-06-08,S006,P096,52,9.44,0.19,397.61
2024-08-10,S018,P109,53,8.24,0.0,436.72
2024-05-12,S014,P051,22,3.13,0.0,68.86
2024-02-26,S014,P006,83,15.14,0.0,1256.62
2024-08-31,S006,P101,18,12.97,0.0,233.46
2024-01-11,S016,P102,60,3.19,0.0,191.4
2024-02-03,S005,P014,6,13.9,0.0,83.4
2024-02-18,S018,P091,7,6.28,0.0,43.96
2024-12-05,S002,P037,66,14.11,0.0,931.26
2024-04-27,S015,P081,54,13.68,0.0,738.72
2024-10-19,S003,P109,45,8.36,0.0,376.2
2024-12-24,S013,P075,24,15.51,0.0,372.24
2024-08-12,S012,P059,18,12.46,0.0,224.28
2024-03-18,S003,P063,85,4.52,0.0,384.2
2024-11-25,S009,P016,27,11.89,0.0,321.03
2024-08-12,S018,P051,105,3.11,0.0,326.55
2024-06-27,S016,P006,68,14.57,0.0,990.76
2024-09-11,S015,P028,61,6.31,0.0,384.91
2024-07-12,S015,P041,41,15.5,0.0,635.5
2024-07-28,S015,P061,18,5.03,0.0,90.54
2024-03-18,S002,P057,47,15.28,0.0,718.16
2024-12-29,S004,P084,152,6.17,0.0,937.84
2024-01-25,S006,P089,10,2.13,0.0,21.3
2024-11-16,S015,P028,83,6.1,0.11,450.61
2024-01-30,S019,P034,68,6.98,0.1,427.18
2024-03-24,S014,P050,14,7.02,0.23,75.68
2024-03-19,S004,P086,74,7.92,0.0,586.08
2024-06-09,S014,P069,61,13.81,0.0,842.41
2024-03-13,S016,P117,53,8.75,0.0,463.75
2024-11-11,S016,P067,30,14.37,0.0,431.1
2024-07-05,S012,P080,54,11.95,0.0,645.3
2024-03-18,S009,P038,6,11.78,0.0,70.68
2024-01-21,S017,P033,7,12.71,0.0,88.97
2024-07-25,S001,P077,33,7.96,0.0,262.68
2024-01-09,S014,P077,68,8.4,0.0,571.2
2024-11-04,S013,P004,23,2.57,0.0,59.11
2024-10-09,S004,P017,93,4.57,0.09,386.76
2024-10-22,S006,P098,71,12.69,0.0,900.99
2024-08-31,S014,P016,8,11.98,0.08,88.17
2024-11-12,S019,P048,14,8.85,0.0,123.9
2024-05-21,S013,P047,27,6.31,0.0,170.37
2024-02-18,S004,P069,76,13.53,0.0,1028.28
2024-12-27,S008,P098,97,12.2,0.19,958.55
2024-07-24,S015,P072,73,15.23,0.0,1111.79
2024-08-21,S004,P045,13,13.2,0.0,171.6
2024-05-31,S007,P095,68,14.5,0.0,986.0
2024-04-19,S003,P054,96,11.2,0.0,1075.2
2024-04-27,S011,P069,88,14.28,0.0,1256.64
2024-08-17,S017,P013,35,6.3,0.0,220.5
2024-05-02,S006,P050,62,6.91,0.0,428.42
2024-07-04,S004,P030,88,10.56,0.0,929.28
2024-03-12,S017,P031,50,7.91,0.0,395.5
2024-09-22,S008,P082,87,8.03,0.17,579.85
2024-03-06,S006,P051,82,3.14,0.0,257.48
2024-10-09,S007,P062,89,14.43,0.0,1284.27
2024-12-02,S002,P066,24,3.37,0.0,80.88
2024-08-31,S001,P049,6,2.52,0.0,15.12
2024-06-25,S017,P042,80,5.9,0.0,472.0
2024-11-24,S004,P015,6,2.56,0.0,15.36
2024-08-18,S014,P087,46,2.89,0.14,114.33
2024-02-12,S011,P027,37,4.83,0.0,178.71
2024-12-29,S002,P110,109,8.63,0.1,846.6
2024-03-28,S016,P035,89,3.24,0.15,245.11
2024-03-22,S011,P043,80,14.27,0.0,1141.6
2024-08-04,S015,P023,72,12.09,0.0,870.48
2024-05-01,S011,P060,72,9.07,0.23,502.84
2024-02-01,S004,P113,109,10.04,0.0,1094.36
2024-09-09,S020,P003,75,4.09,0.16,257.67
2024-03-15,S009,P056,75,8.24,0.0,618.0
2024-09-14,S015,P006,20,14.74,0.0,294.8
2024-07-16,S020,P036,35,4.03,0.0,141.05
2024-01-13,S017,P093,80,10.42,0.0,833.6
2024-02-17,S006,P109,70,8.53,0.0,597.1
2024-05-27,S002,P032,73,9.74,0.11,632.81
2024-01-09,S008,P105,31,14.59,0.0,452.29
2024-07-02,S005,P042,39,5.73,0.0,223.47
2024-12-01,S019,P011,88,14.43,0.0,1269.84
2024-02-13,S018,P040,118,8.89,0.07,975.59
2024-11-09,S009,P058,46,10.95,0.0,503.7
2024-03-04,S010,P106,87,2.54,0.0,220.98
2024-11-20,S012,P050,32,6.99,0.0,223.68
2024-03-28,S018,P112,13,5.33,0.19,56.12
2024-10-11,S014,P048,71,9.0,0.0,639.0
2024-05-21,S006,P080,78,11.7,0.0,912.6
2024-03-06,S012,P117,38,8.63,0.0,327.94
2024-07-02,S011,P021,79,10.27,0.0,811.33
2024-04-27,S013,P101,84,13.74,0.0,1154.16
2024-05-27,S012,P088,76,12.61,0.0,958.36
2024-06-25,S018,P057,44,15.4,0.0,677.6
2024-06-14,S009,P008,29,13.96,0.19,327.92
2024-01-07,S018,P029,71,13.58,0.0,964.18
2024-11-12,S008,P036,29,3.96,0.0,114.84
2024-10-01,S007,P055,8,9.71,0.0,77.68
2024-06-29,S017,P072,63,15.24,0.0,960.12
2024-08-24,S005,P030,94,10.77,0.16,850.4
2024-03-28,S007,P114,22,8.49,0.0,186.78
2024-05-08,S010,P084,31,6.26,0.0,194.06
2024-03-26,S011,P058,32,10.52,0.07,313.08
2024-08-17,S002,P072,49,14.96,0.0,733.04
2024-04-27,S006,P079,19,7.74,0.0,147.06
2024-12-01,S015,P057,19,14.97,0.0,284.43
2024-07-11,S012,P018,50,6.2,0.0,310.0
2024-04-27,S002,P070,67,13.87,0.0,929.29
2024-06-11,S014,P013,51,6.04,0.0,308.04
2024-02-01,S016,P054,64,11.45,0.0,732.8
2024-03-13,S015,P028,88,6.28,0.0,552.64
2024-05-17,S009,P103,9,8.95,0.0,80.55
2024-03-30,S014,P066,55,3.35,0.0,184.25
2024-02-19,S004,P096,16,9.57,0.0,153.12
2024-09-06,S003,P064,16,15.38,0.0,246.08
2024-03-24,S002,P057,58,15.54,0.0,901.32
2024-09-02,S017,P002,70,3.24,0.0,226.8
2024-09-07,S009,P100,60,6.78,0.0,406.8
2024-02-16,S018,P069,23,14.03,0.0,322.69
2024-10-07,S011,P091,26,6.27,0.1,146.72
2024-07-28,S007,P106,86,2.56,0.0,220.16
2024-09-28,S015,P050,50,6.92,0.0,346.0
2024-02-06,S001,P039,79,10.0,0.0,790.0
2024-04-18,S008,P062,33,15.34,0.0,506.22
2024-11-08,S017,P083,49,8.37,0.0,410.13
2024-03-06,S011,P024,114,10.38,0.07,1100.49
2024-11-08,S010,P116,63,7.55,0.0,475.65
2024-08-15,S006,P085,74,7.52,0.13,484.14
2024-07-26,S010,P036,18,3.77,0.0,67.86
2024-05-11,S011,P073,66,2.32,0.0,153.12
2024-01-31,S015,P030,28,11.1,0.08,285.94
2024-01-03,S011,P060,48,9.59,0.0,460.32
2024-11-29,S016,P040,50,8.61,0.0,430.5
2024-12-08,S016,P083,8,7.9,0.0,63.2
2024-05-18,S015,P014,19,13.52,0.0,256.88
2024-04-15,S005,P116,92,8.01,0.0,736.92
2024-12-06,S005,P030,29,11.29,0.0,327.41
2024-03-13,S007,P079,10,7.76,0.0,77.6
2024-01-11,S005,P112,102,5.26,0.0,536.52
2024-03-11,S019,P063,55,4.53,0.0,249.15
2024-11-02,S003,P032,46,10.11,0.0,465.06
2024-06-26,S010,P012,29,8.27,0.0,239.83
2024-12-03,S013,P026,145,6.76,0.0,980.2
2024-07-04,S004,P034,46,6.99,0.0,321.54
2024-12-19,S011,P007,43,11.41,0.0,490.63
2024-10-28,S005,P016,61,12.19,0.16,624.62
2024-06-12,S018,P115,74,5.66,0.17,347.64
2024-03-29,S019,P112,34,5.6,0.0,190.4
2024-04-11,S010,P106,21,2.68,0.0,56.28
2024-05-21,S006,P018,45,6.05,0.0,272.25
2024-02-19,S001,P021,71,10.02,0.0,711.42
2024-12-17,S011,P013,50,6.28,0.0,314.0
2024-09-13,S010,P075,25,15.68,0.0,392.0
2024-01-29,S013,P069,24,14.28,0.0,342.72
2024-02-06,S003,P100,55,7.05,0.0,387.75
2024-03-29,S011,P012,117,8.27,0.0,967.59
2024-05-06,S005,P117,85,8.16,0.0,693.6
2024-02-23,S012,P091,5,6.44,0.22,25.12
2024-11-04,S019,P073,8,2.27,0.0,18.16
2024-05-21,S016,P084,60,6.41,0.0,384.6
2024-12-06,S011,P089,45,2.25,0.0,101.25
2024-12-06,S016,P059,88,12.8,0.0,1126.4
2024-11-02,S001,P047,118,6.51,0.0,768.18
2024-07-15,S017,P029,81,13.89,0.22,877.57
2024-09-27,S003,P038,67,11.58,0.0,775.86
2024-03-06,S008,P113,81,9.86,0.0,798.66
2024-07-09,S017,P039,26,10.24,0.0,266.24
2024-09-19,S002,P002,19,3.12,0.0,59.28
2024-07-18,S004,P077,70,8.24,0.0,576.8
2024-08-17,S004,P085,61,7.58,0.0,462.38
2024-07-20,S020,P024,106,10.71,0.0,1135.26
2024-09-27,S014,P094,75,14.43,0.0,1082.25
2024-09-16,S003,P102,20,3.21,0.0,64.2
2024-05-31,S016,P058,51,10.84,0.0,552.84
2024-12-21,S012,P046,86,8.31,0.0,714.66
2024-06-06,S004,P052,89,2.31,0.0,205.59
2024-09-30,S019,P007,57,11.15,0.0,635.55
2024-02-01,S008,P080,55,11.45,0.15,535.29
2024-08-27,S020,P013,126,6.36,0.0,801.36
2024-03-01,S004,P113,88,9.25,0.0,814.0
2024-10-05,S006,P062,56,14.98,0.0,838.88
2024-09-23,S009,P055,59,9.25,0.0,545.75
2024-06-28,S016,P044,89,3.56,0.0,316.84
2024-11-29,S014,P012,17,8.09,0.0,137.53
2024-01-19,S007,P104,60,7.8,0.0,468.0
2024-02-19,S010,P083,31,8.21,0.0,254.51
2024-07-08,S015,P014,40,13.46,0.0,538.4
2024-05-29,S009,P117,40,8.55,0.0,342.0
2024-04-16,S015,P003,75,3.96,0.0,297.0
2024-02-24,S006,P091,59,6.37,0.0,375.83
2024-10-25,S014,P088,43,12.86,0.0,552.98
2024-04-18,S016,P006,57,14.97,0.0,853.29
2024-10-19,S004,P034,37,7.33,0.0,271.21
2024-10-25,S016,P105,12,15.11,0.0,181.32
2024-05-08,S008,P072,39,14.98,0.0,584.22
2024-03-13,S009,P107,82,4.64,0.07,353.85
2024-03-11,S013,P041,88,14.7,0.0,1293.6
2024-10-09,S014,P015,20,2.6,0.0,52.0
2024-12-05,S004,P031,24,8.39,0.0,201.36
2024-02-09,S010,P034,70,7.12,0.0,498.4
2024-10-02,S003,P115,62,5.31,0.0,329.22
2024-10-18,S002,P003,67,3.97,0.0,265.99
2024-01-09,S020,P061,71,5.0,0.0,355.0
2024-04-25,S012,P113,81,9.12,0.0,738.72
2024-01-01,S002,P090,53,6.95,0.0,368.35
2024-06-02,S011,P057,72,14.61,0.0,1051.92
2024-02-17,S013,P061,62,5.23,0.0,324.26
2024-04-03,S012,P025,78,9.58,0.0,747.24
2024-03-11,S016,P051,7,3.02,0.11,18.81
2024-08-17,S016,P095,46,13.98,0.0,643.08
2024-01-27,S008,P039,12,10.44,0.0,125.28
2024-09-18,S017,P011,36,14.33,0.16,433.34
2024-05-26,S004,P104,9,8.24,0.0,74.16
2024-06-18,S016,P082,6,8.12,0.0,48.72
2024-03-05,S016,P034,37,7.22,0.0,267.14
2024-10-18,S015,P071,44,4.82,0.0,212.08
2024-05-07,S009,P074,68,4.7,0.0,319.6
2024-09-30,S016,P117,24,8.7,0.0,208.8
2024-01-18,S002,P067,7,14.44,0.0,101.08
2024-01-31,S015,P032,83,10.21,0.0,847.43
2024-07-22,S007,P084,23,6.12,0.0,140.76
2024-02-29,S010,P019,87,5.21,0.0,453.27
2024-01-15,S010,P078,69,2.6,0.19,145.31
2024-01-09,S015,P103,81,8.64,0.0,699.84
2024-03-03,S007,P019,77,5.31,0.0,408.87
2024-10-20,S019,P077,5,8.09,0.0,40.45
2024-10-13,S001,P042,7,5.93,0.0,41.51
2024-03-08,S011,P062,55,15.15,0.0,833.25
2024-09-18,S012,P094,82,14.34,0.0,1175.88
2024-10-24,S006,P084,51,6.09,0.0,310.59
2024-08-08,S010,P083,33,8.21,0.0,270.93
2024-08-04,S007,P084,9,6.15,0.0,55.35
2024-02-24,S009,P064,42,15.05,0.0,632.1
2024-06-07,S010,P030,88,10.55,0.12,816.99
2024-06-30,S014,P041,54,15.06,0.0,813.24
2024-05-03,S009,P008,65,14.26,0.0,926.9
2024-06-22,S011,P030,39,10.99,0.0,428.61
2024-09-03,S014,P023,29,12.31,0.07,332.0
2024-11-25,S018,P004,118,2.69,0.0,317.42
2024-03-09,S001,P083,81,8.21,0.0,665.01
2024-08-05,S008,P068,63,4.62,0.0,291.06
2024-09-09,S014,P007,13,11.46,0.0,148.98
2024-01-20,S013,P003,10,3.95,0.0,39.5
2024-05-11,S015,P051,71,3.01,0.0,213.71
2024-09-08,S004,P026,122,7.14,0.0,871.08
2024-09-24,S013,P023,45,12.19,0.0,548.55
2024-05-23,S016,P111,81,3.85,0.0,311.85
2024-09-30,S017,P110,81,8.3,0.0,672.3
2024-01-22,S001,P023,53,12.09,0.0,640.77
2024-04-27,S007,P044,25,3.42,0.0,85.5
